ID_TV,NAMA_TV,LOGO,URL,BG_TEXT,C_TEXT,ID_KATEGORI,KATEGORI
21,NAT GEO PEOPLE,https://tv.wajabae.com/upload/logo/10210646202002.png,https://newbonetv.xyz/m3u/usee-natgeopeople-okebos.m3u8,ffe333,ffffff,4,Knowledge
20,NAT GEO WILD,https://tv.wajabae.com/upload/logo/10210643202056.png,https://newbonetv.xyz/m3u/usee-natgeowild-okebos.m3u8,ffe333,ffffff,4,Knowledge
60,National Geographic,https://tv.wajabae.com/upload/logo/23240615202011.png,https://newbonetv.xyz/m3u/usee-natgeo-okebos.m3u8,ffe333,000000,4,Knowledge
572,TV Edukasi,https://tv.wajabae.com/upload/logo/05081041202040.png,https://newbonetv.xyz/m3u/usee-tvedukasi-okebos.m3u8,AE941F,ffffff,4,Knowledge
52,Blue Ant Entertaiment,https://tv.wajabae.com/upload/logo/02230612202053.jpg,https://newbonetv.xyz/m3u/usee-blueant-okebos.m3u8,C11111,ffffff,11,Lifestyle
53,Blue Ant Extreme,https://tv.wajabae.com/upload/logo/02230613202052.jpg,https://newbonetv.xyz/m3u/usee-blueantextreme-okebos.m3u8,2253A8,ffffff,11,Lifestyle
515,CCTV4,https://tv.wajabae.com/upload/logo/00210925202011.png,https://newbonetv.xyz/m3u/usee-cctv4-okebos.m3u8,3380ff,ffffff,11,Lifestyle
417,Crime & Investigation,https://tv.wajabae.com/upload/logo/23190818202050.png,https://newbonetv.xyz/m3u/usee-crimeinvestigation-okebos.m3u8,C70039,ffffff,11,Lifestyle
562,Dunia Lain,https://tv.wajabae.com/upload/logo/05081017202032.png,https://newbonetv.xyz/m3u/usee-dunialain-okebos.m3u8,175896,ffffff,11,Lifestyle
563,Eat & Go,https://tv.wajabae.com/upload/logo/05081020202037.png,https://newbonetv.xyz/m3u/usee-eatgo-okebos.m3u8,31587E,ffffff,11,Lifestyle
564,El John TV,https://tv.wajabae.com/upload/logo/05081022202032.png,https://newbonetv.xyz/m3u/usee-eljohn-okebos.m3u8,1A3094,ffffff,11,Lifestyle
400,Lifetime,https://tv.wajabae.com/upload/logo/23160859202008.png,https://newbonetv.xyz/m3u/usee-lifetime-okebos.m3u8,C0392B,ffffff,11,Lifestyle
325,SONY GEM,https://tv.wajabae.com/upload/logo/23010743202050.png,https://newbonetv.xyz/m3u/usee-sgem-okebos.m3u8,0F4095,ffffff,11,Lifestyle
401,TLC,https://tv.wajabae.com/upload/logo/00170802202010.png,http://103.76.148.202:25461/live/isp/isp12345/116.m3u8,C0392B,ffffff,11,Lifestyle
445,TV5 Monde,https://tv.wajabae.com/upload/logo/13260846202009.png,https://newbonetv.xyz/m3u/usee-tv5monde-okebos.m3u8,1F84DD,ffffff,11,Lifestyle
364,TVN,https://tv.wajabae.com/upload/logo/05160731202001.png,https://newbonetv.xyz/m3u/usee-tvn-okebos.m3u8,000000,ffffff,11,Lifestyle
430,Usee Photo,https://tv.wajabae.com/upload/logo/22200857202017.png,https://newbonetv.xyz/m3u/usee-useephoto-okebos.m3u8,e74c3c,ffffff,11,Lifestyle
431,Waku Waku Japan,https://tv.wajabae.com/upload/logo/03260802202014.png,https://newbonetv.xyz/m3u/usee-wakuwaku-okebos.m3u8,000000,ffffff,11,Lifestyle
80,AXN,https://tv.wajabae.com/upload/logo/22240625202047.png,https://newbonetv.xyz/m3u/usee-axn-okebos.m3u8,C81F17,ffffff,2,Movies
549,Bioskop Indonesia,https://tv.wajabae.com/upload/logo/19021033202033.png,https://newbonetv.xyz/m3u/usee-bioskopindonesia-okebos.m3u8,095062,ffffff,2,Movies
58,Celestial Movies,https://tv.wajabae.com/upload/logo/02230624202032.jpg,https://newbonetv.xyz/m3u/usee-celestialmovie-okebos.m3u8,501345,ffffff,2,Movies
557,Chinese Drama,https://tv.wajabae.com/upload/logo/05081008202046.jpg,https://newbonetv.xyz/m3u/usee-chinesedrama-okebos.m3u8,DE1E1B,ffffff,2,Movies
51,Cinema World,https://tv.wajabae.com/upload/logo/02230611202042.png,https://newbonetv.xyz/m3u/usee-cinemaworld-okebos.m3u8,F39C12,ffffff,2,Movies
329,Cinemax,https://tv.wajabae.com/upload/logo/00020701202039.png,https://newbonetv.xyz/m3u/Go-max-okebos.m3u8,AB2828,ffffff,2,Movies
74,FLIX,https://tv.wajabae.com/upload/logo/22240641202004.png,https://newbonetv.xyz/m3u/usee-flik-okebos.m3u8,FFC300,ffffff,2,Movies
49,FOX,https://tv.wajabae.com/upload/logo/02230607202009.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/3,F39C12,ffffff,2,Movies
45,Fox Action Movies,https://tv.wajabae.com/upload/logo/02230602202008.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/6,B11616,ffffff,2,Movies
396,Fox Crime,https://tv.wajabae.com/upload/logo/10160709202034.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/4,1527da,ffffff,2,Movies
46,Fox Family Movies,https://tv.wajabae.com/upload/logo/02230603202049.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/7,76971F,ffffff,2,Movies
363,Fox Life,https://tv.wajabae.com/upload/logo/05160727202004.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/5,000000,ffffff,2,Movies
44,Fox Movies,https://tv.wajabae.com/upload/logo/02230600202057.png,http://103.76.148.203:25461/EqyGiMlzsS/xvlVrI4VzZ/1,000000,ffffff,2,Movies
77,Galaxy,https://tv.wajabae.com/upload/logo/22240638202012.png,https://newbonetv.xyz/m3u/usee-galaxy-okebos.m3u8,5C5C5C,ffffff,2,Movies
510,Galaxy Premium,https://tv.wajabae.com/upload/logo/03200923202040.png,https://newbonetv.xyz/m3u/usee-galaxypremium-okebos.m3u8,000000,ffffff,2,Movies
101,HBO,https://tv.wajabae.com/upload/logo/08300609202053.png,https://newbonetv.xyz/m3u/Go-hbo-okebos.m3u8,000000,ffffff,2,Movies
9,HBO FAMILY,https://tv.wajabae.com/upload/logo/23200650202053.png,https://newbonetv.xyz/m3u/Go-fam-okebos.m3u8,950000,ffffff,2,Movies
47,HBO Hits,https://tv.wajabae.com/upload/logo/02230605202005.png,https://newbonetv.xyz/m3u/Go-hits-okebos.m3u8,3D3D3D,ffffff,2,Movies
48,HBO Signature,https://tv.wajabae.com/upload/logo/02230606202024.png,https://newbonetv.xyz/m3u/Go-sig-okebos.m3u8,D68910,ffffff,2,Movies
50,HITS,https://tv.wajabae.com/upload/logo/02230609202049.jpg,http://103.30.246.49:25461/boneiptv/DLjsL4l78k/83,3D3D3D,FFFFFF,2,Movies
397,IMC,https://tv.wajabae.com/upload/logo/10160720202051.png,https://newbonetv.xyz/m3u/usee-imc-okebos.m3u8,14b9c4,ffffff,2,Movies
55,K+ Korea,https://tv.wajabae.com/upload/logo/02230616202030.png,https://newbonetv.xyz/m3u/usee-kplus-okebos.m3u8,268DA9,ffffff,2,Movies
541,KBS World,https://tv.wajabae.com/upload/logo/02300951202035.png,https://newbonetv.xyz/m3u/usee-kbsworld-okebos.m3u8,26719e,ffffff,2,Movies
28,KIX,https://tv.wajabae.com/upload/logo/01220646202026.jpg,https://newbonetv.xyz/m3u/usee-kix-okebos.m3u8,f4d03f,000000,2,Movies
571,My TV,https://tv.wajabae.com/upload/logo/05081039202014.png,https://newbonetv.xyz/m3u/usee-mytv-okebos.m3u8,B72EC5,ffffff,2,Movies
358,Red By HBO,https://tv.wajabae.com/upload/logo/07090734202011.png,https://newbonetv.xyz/m3u/Go-red-okebos.m3u8,C70039,ffffff,2,Movies
326,Sinema Indonesia,https://tv.wajabae.com/upload/logo/23010756202058.png,http://103.121.238.11:25461/Bone/Bone/15,0C2551,ffffff,2,Movies
555,Sinema Indonesia X,https://tv.wajabae.com/upload/logo/02081050202034.jpg,http://103.121.238.11:25461/Bone/Bone/16,000000,ffffff,2,Movies
327,Sony One,https://tv.wajabae.com/upload/logo/23010759202004.png,https://newbonetv.xyz/m3u/usee-sone-okebos.m3u8,194DA9,ffffff,2,Movies
54,thrill,https://tv.wajabae.com/upload/logo/02230615202002.png,https://newbonetv.xyz/m3u/usee-thrill-okebos.m3u8,2D2D2D,ffffff,2,Movies
79,TVN Movies,https://tv.wajabae.com/upload/logo/22240631202029.png,https://newbonetv.xyz/m3u/usee-tvnmovies-okebos.m3u8,626C89,ffffff,2,Movies
522,Ultra HD Cinema,https://tv.wajabae.com/upload/logo/01260953202003.png,http://dmitry-tv.my1.ru/his/itv_zabava/04/CH_ULTRAHDCINEMA_HLSUHD.m3u8,ff5833,ffffff,2,Movies
524,Vip Megahit,https://tv.wajabae.com/upload/logo/02260930202036.png,http://live-ng-01.more.tv/hls/ViP_Megahit_HD/index_3.m3u8,52ff33,ffffff,2,Movies
73,WB TV,https://tv.wajabae.com/upload/logo/03230623202015.png,https://newbonetv.xyz/m3u/usee-warner-okebos.m3u8,000000,ffffff,2,Movies
57,Zee Bioskop,https://tv.wajabae.com/upload/logo/02230621202052.jpg,https://newbonetv.xyz/m3u/vidio-zee-bioskop-okebos.m3u8,D32D44,ffffff,2,Movies
581,Citra Dangdut,https://tv.wajabae.com/upload/logo/23271015202017.png,https://newbonetv.xyz/m3u/usee-citradangdut-okebos.m3u8,2490e0,ffffff,19,Music
588,CMC,https://tv.wajabae.com/upload/logo/23271048202004.png,http://cmctv.ios.internapcdn.net/cmctv_vitalstream_com/live_1/CMC-TV/.m3u8,247ce0,ffffff,19,Music
582,Ikonser,https://tv.wajabae.com/upload/logo/23271018202001.png,https://newbonetv.xyz/m3u/usee-ikonser-okebos.m3u8,24b5e0,ffffff,19,Music
589,Karaoke Channel,https://tv.wajabae.com/upload/logo/00281005202027.jpg,http://edge.linknetott.swiftserve.com/live/BSgroup/amlst:karaokech/chunklist_b2288000.m3u8?fluxustv.m3u8,24bbe0,ffffff,19,Music
580,MTV,https://tv.wajabae.com/upload/logo/23271012202008.jpg,https://newbonetv.xyz/m3u/usee-mtvlive-okebos.m3u8,2474e0,ffffff,19,Music
585,Musica,https://tv.wajabae.com/upload/logo/23271029202051.jpg,https://newbonetv.xyz/m3u/yt-musicastudio-okebos.m3u8,24aae0,ffffff,19,Music
586,Nagaswara,https://tv.wajabae.com/upload/logo/23271034202021.jpg,https://newbonetv.xyz/m3u/yt-nagaswara-okebos.m3u8,24e0c4,ffffff,19,Music
583,Prambors TV,https://tv.wajabae.com/upload/logo/23271021202037.png,https://newbonetv.xyz/m3u/usee-pramborstv-okebos.m3u8,246be0,ffffff,19,Music
496,ABC News,https://tv.wajabae.com/upload/logo/02110907202042.png,https://anevia114.mncnow.id/live/eds/AustraliaPlus/sa_dash_vmx/AustraliaPlus.mpd,000000,ffffff,12,News
451,Aljazeera,https://tv.wajabae.com/upload/logo/14260859202026.png,https://newbonetv.xyz/m3u/vidio-aljazeera-okebos.m3u8,CDAA07,ffffff,12,News
493,ARIRANG,https://tv.wajabae.com/upload/logo/08100944202046.jpg,http://103.76.148.202:25461/isp/isp12345/110,275DAD,fcf7f8,12,News
448,BBC World News,https://tv.wajabae.com/upload/logo/14260833202000.png,http://103.76.148.202:25461/isp/isp12345/6,C00E29,ffffff,12,News
494,Bloomberg,https://tv.wajabae.com/upload/logo/02110905202003.png,https://newbonetv.xyz/m3u/usee-bloomberg-okebos.m3u8,000000,ffffff,12,News
62,CGTN Documentary,https://tv.wajabae.com/upload/logo/02230638202042.png,http://103.76.148.202:25461/isp/isp12345/111,DECD9B,ffffff,12,News
455,CNA,https://tv.wajabae.com/upload/logo/22260817202044.png,http://103.76.148.202:25461/isp/isp12345/108,e3066a,ffffff,12,News
495,CNBC International,https://tv.wajabae.com/upload/logo/02110906202043.jpg,http://edge-1192-ch-gv.filmon.com/live/4130.high.stream/playlist.m3u8,C70039,ffffff,12,News
440,CNN Internasional,https://tv.wajabae.com/upload/logo/04260859202034.jpg,https://newbonetv.xyz/m3u/usee-cnninternational-okebos.m3u8,e31a06,ffffff,12,News
449,DW,https://tv.wajabae.com/upload/logo/14260836202009.png,https://newbonetv.xyz/m3u/usee-dwtv-okebos.m3u8,145585,ffffff,12,News
513,Fox News,https://tv.wajabae.com/upload/logo/18200926202024.png,https://bk7l2w4nlx53-hls-live.5centscdn.com/FOXNEWS/961ac1c875f5884f31bdd177365ef1e3.sdp/playlist.m3u8,000000,ffffff,12,News
444,France 24,https://tv.wajabae.com/upload/logo/13260840202008.png,https://newbonetv.xyz/m3u/usee-france24-okebos.m3u8,2C86D6,ffffff,12,News
433,IDX,https://tv.wajabae.com/upload/logo/04260840202039.png,https://newbonetv.xyz/m3u/usee-idx-okebos.m3u8,941d1d,FFFFFF,12,News
441,NHK World,https://tv.wajabae.com/upload/logo/05260841202048.png,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp/index_600k.m3u8,e31a06,ffffff,12,News
501,SKY NEWS,https://tv.wajabae.com/upload/logo/14110949202052.png,http://103.76.148.202:25461/isp/isp12345/112,275DAD,fcf7f8,12,News
67,Bein Sport 1,https://tv.wajabae.com/upload/logo/22110920202018.png,https://newbonetv.xyz/m3u/usee-bein1-okebos.m3u8,4C1F81,ffffff,5,Sport
68,Bein Sport 2,https://tv.wajabae.com/upload/logo/22110920202052.png,https://newbonetv.xyz/m3u/usee-bein2-okebos.m3u8,4C1F81,ffffff,5,Sport
87,Egg Network,https://tv.wajabae.com/upload/logo/02280621202012.png,http://210.210.155.66/h/h22/index.m3u8,000000,ffffff,5,Sport
484,Fight Sport,https://tv.wajabae.com/upload/logo/13090913202020.jpg,http://103.121.238.11:25461/live/Bone/Bone/8.m3u8,275DAD,fcf7f8,5,Sport
70,Fox Sport 1,https://tv.wajabae.com/upload/logo/02230653202023.png,https://newbonetv.xyz/m3u/usee-foxsport1-okebos.m3u8,21346D,ffffff,5,Sport
71,Fox Sport 2,https://tv.wajabae.com/upload/logo/02230653202056.png,http://103.76.148.203:25461/MIw9qm6Mqd/AhVibgDpLx/13,21346D,ffffff,5,Sport
72,Fox Sport 3,https://tv.wajabae.com/upload/logo/02230654202029.png,http://103.76.148.203:25461/MIw9qm6Mqd/AhVibgDpLx/14,21346D,ffffff,5,Sport
429,Golf,https://tv.wajabae.com/upload/logo/03200848202036.png,https://www.livedoomovies.com/02_golfhd_720p/chunklist.m3u8,1E1E1E,ffffff,5,Sport
377,NBA TV,https://tv.wajabae.com/upload/logo/08160714202040.png,http://103.76.148.203:25461/live/MIw9qm6Mqd/AhVibgDpLx/10.m3u8,a71818,ffffff,5,Sport
351,Racing.com,https://tv.wajabae.com/upload/logo/16020722202002.png,https://racingvic-i.akamaized.net/hls/live/598695/racingvic/628.m3u8?fluxustv.m3u8,AD1C1C,ffffff,5,Sport
95,Red Bull TV,https://tv.wajabae.com/upload/logo/02280641202045.png,https://i.mjh.nz/au/Canberra/tv.redbull.tv.m3u8,DD0E50,FFFFFF,5,Sport
346,TVRI SPORT,https://tv.wajabae.com/upload/logo/16020704202022.jpg,http://103.30.246.49:25461/live/boneiptv/DLjsL4l78k/46.m3u8,2C1D68,FFFFFF,5,Sport
88,Uerosport 1,https://tv.wajabae.com/upload/logo/02280626202019.jpg,http://103.121.238.11:25461/Bone/Bone/3,E22E2E,ffffff,5,Sport
89,Uerosport 2,https://tv.wajabae.com/upload/logo/02280628202007.png,http://103.121.238.11:25461/Bone/Bone/4,E22E2E,ffffff,5,Sport
64,Usee Sport 2,https://tv.wajabae.com/upload/logo/02230643202026.jpg,https://newbonetv.xyz/m3u/usee-useesports2-okebos.m3u8,DE3A23,ffffff,5,Sport
63,Usee Sports 1,https://tv.wajabae.com/upload/logo/02230642202044.jpg,https://newbonetv.xyz/m3u/usee-useesport-okebos.m3u8,DE3A23,ffffff,5,Sport
395,WWE Channel,https://tv.wajabae.com/upload/logo/08160739202027.jpg,http://mondial.cybergroup.top:8080/rldwy8pqMM/RDchwBgCL5/88934,2c2c2c,ffffff,5,Sport
